#File	PNG-Size	WebP-Size	WebP-DSSIM	JPEG-Size	JPEG-DSSIM	JPEG-Quality
icons/Ct2lhm9Z8bk6hHNE-QxsXXpysE2Yj7P4YJldiRRmecOKgmcKtmElpFe2SrThEX5tn041.png	22293	3334	0.0859	4253	0.0892	85
icons/soOZWEHNxD1RO7s--7y5yHgI48jVdkwICA32TWurDe8VyBPzqsInxUHyJUAXf7_1dhE.png	35680	5572	0.4066	9301	0.4087	88
icons/ZS7QGLV5h-Rb0GyYO_5bsAwiRLlN7dq-d99g38hnCOMac_XlovoxrcDZNlcDDaJekg.png	27742	2490	0.1309	4295	0.1241	82
icons/VBoTGSzWVivDIFa-8F7wv2EouRk-JB_LQA7iQ1uY6xLn0lDbkwJ2XQhlQG82UZ4m5VE5.png	4073	944	0.0502	1883	0.05	95
icons/qFYzHyufZvsfeWiI3kgscFUsVO57hMeEAlp571qKjflWeIu7KJro5aVQRLZ3-KIjRA.png	30494	3744	0.1921	6229	0.1916	85
icons/TXK9GG4_rnp0DCaGtcULxNQFl1no9Ja_O2HKBh0lSxYw6Tl6p_FlPV8FH_jfkhi24hs.png	13371	3388	0.0435	5073	0.0473	90
icons/iriZ6Uf5HiQCe0ZjxNxfAReeT15anUlrr0G1rTSEwzsYNn_er8HdgHrIxF_ZyWbj8S0.png	31050	5706	0.5744	7312	0.552	81
icons/C3c_B1OW0nks6UJnkNlLd8XU13Koa4Qlt4TW6KXWWXOSdKsOzY_8nChv8sWNQx5YDuY.png	17450	1738	0.0254	4008	0.0246	90
icons/gWbfn8mJ1JeMMA55dfO4KAwAid_s_vc664D7ipy3ZOObJ3VKBNETcBqynwa4WMBz7JI.png	5165	1158	0.0273	3004	0.0287	90
icons/-2_OgVHGIvLZo52yJZrUyBDWhSCTste8c3PO3C6wbwSYABD8FuQ4CRb_hQLcYsS-LaM.png	4847	1222	0.0419	3348	0.0395	90
icons/81E4uq1AJh1a3rJ29QkRy-jg_doISjZJVK5zz7DfyhJXfr1YtljUeIv6lHOewn2w2EM.png	9575	3542	0.0236	4484	0.0259	95
icons/RVEVMudNVFaSOqktylF0RMoPVtwa3TKFCml9fAbcXGm-1bxIxezr8QyCH91_PhC9pw.png	27989	3736	0.1143	5646	0.1209	85
